timestamp_ms,ax_raw,ay_raw,az_raw,label
1065,11,-137,265,anomalie
1070,-212,1695,128,anomalie
1075,7,1578,-47,anomalie
1080,130,-114,-418,anomalie
1085,92,1613,-500,anomalie
1090,-320,1652,-247,anomalie
1095,-942,-301,980,anomalie
1100,149,1390,-4,anomalie
1105,130,1703,-196,anomalie
1110,811,-274,160,anomalie
1115,-54,1328,-51,anomalie
1120,-89,1832,-55,anomalie
1125,49,-215,453,anomalie
1130,115,1253,-696,anomalie
1135,199,2047,-727,anomalie
1140,-262,-208,210,anomalie
1145,-1065,824,882,anomalie
1150,199,2047,-383,anomalie
1155,19,-86,78,anomalie
1160,768,789,-4,anomalie
1165,-177,2047,-594,anomalie
1170,211,101,207,anomalie
1175,3,617,472,anomalie
1180,326,2047,-1168,anomalie
1185,30,386,-539,anomalie
1190,-362,441,250,anomalie
1195,-946,2047,101,anomalie
1200,242,617,-129,anomalie
1205,-81,257,410,anomalie
1210,895,2047,-532,anomalie
1215,-273,1054,-516,anomalie
1220,-70,78,636,anomalie
1225,153,2047,-129,anomalie
1230,376,1218,-778,anomalie
1235,-93,-149,-59,anomalie
1240,-162,2047,-262,anomalie
1245,-1065,1250,363,anomalie
1250,69,-235,503,anomalie
1255,126,1847,-114,anomalie
1260,834,1523,-540,anomalie
1265,-62,-129,148,anomalie
1270,19,1679,63,anomalie
1275,34,1566,-28,anomalie
1280,326,-149,-148,anomalie
1285,-35,1578,-493,anomalie
1290,-316,1664,-243,anomalie
1295,-900,-309,894,anomalie
1300,207,1382,42,anomalie
1305,96,1703,-204,anomalie
1310,814,-239,117,anomalie
1315,-89,1328,-172,anomalie
1320,15,1843,-86,anomalie
1325,19,-227,500,anomalie
1330,203,1246,-637,anomalie
1335,169,2047,-750,anomalie
1340,-266,-180,210,anomalie
1345,-1027,816,890,anomalie
1350,215,2047,-387,anomalie
1355,-20,-114,97,anomalie
1360,753,781,-36,anomalie
1365,-200,2047,-645,anomalie
1370,199,74,183,anomalie
1375,7,601,472,anomalie
1380,345,2047,-1204,anomalie
1385,57,378,-570,anomalie
1390,-308,425,269,anomalie
1395,-954,2047,113,anomalie
1400,199,585,-145,anomalie
1405,-8,257,449,anomalie
1410,880,2047,-536,anomalie
1415,-293,1042,-469,anomalie
1420,-181,66,652,anomalie
1425,119,2047,-110,anomalie
1430,238,1261,-993,anomalie
1435,-35,-98,-55,anomalie
1440,-170,2047,-290,anomalie
1445,-1008,1281,433,anomalie
1450,96,-235,566,anomalie
1455,215,1847,-141,anomalie
1460,899,1468,-551,anomalie
1465,-4,-137,340,anomalie
1470,-162,1671,171,anomalie
1475,61,1562,-36,anomalie
1480,161,-118,-347,anomalie
1485,3,1621,-508,anomalie
1490,-335,1644,-239,anomalie
1495,-938,-325,1035,anomalie
1500,134,1375,-51,anomalie
1505,184,1687,-247,anomalie
1510,826,-278,74,anomalie
1515,-8,1308,-63,anomalie
1520,-104,1835,-79,anomalie
1525,3,-204,480,anomalie
1530,149,1234,-679,anomalie
1535,203,2047,-746,anomalie
1540,-293,-172,214,anomalie
1545,-1038,792,851,anomalie
1550,169,2047,-468,anomalie
1555,61,-75,-8,anomalie
1560,711,785,-28,anomalie
1565,-154,2047,-578,anomalie
1570,142,85,246,anomalie
1575,11,605,496,anomalie
1580,319,2047,-1137,anomalie
1585,88,382,-559,anomalie
1590,-369,472,246,anomalie
1595,-896,2047,66,anomalie
1600,257,593,-140,anomalie
1605,11,253,398,anomalie
1610,872,2047,-555,anomalie
1615,-227,1027,-403,anomalie
1620,-166,70,691,anomalie
1625,138,2047,-55,anomalie
1630,315,1238,-868,anomalie
1635,-16,-90,-43,anomalie
1640,-158,2047,-243,anomalie
1645,-1034,1257,460,anomalie
1650,92,-215,535,anomalie
1655,161,1859,-145,anomalie
1660,861,1503,-559,anomalie
1665,-54,-118,234,anomalie
1670,-54,1648,89,anomalie
1675,30,1589,-55,anomalie
1680,253,-176,-204,anomalie
1685,-70,1582,-508,anomalie
1690,-312,1671,-293,anomalie
1695,-838,-293,871,anomalie
1700,234,1339,82,anomalie
1705,57,1703,-196,anomalie
1710,764,-258,160,anomalie
1715,-135,1367,-247,anomalie
1720,134,1847,-133,anomalie
1725,-24,-211,464,anomalie
1730,219,1167,-481,anomalie
1735,96,2047,-731,anomalie
1740,-197,-176,165,anomalie
1745,-958,828,753,anomalie
1750,234,2047,-379,anomalie
1755,-147,-71,62,anomalie
1760,714,753,62,anomalie
1765,-289,2047,-770,anomalie
1770,388,117,109,anomalie
1775,-12,597,414,anomalie
1780,461,2047,-958,anomalie
1785,-43,421,-567,anomalie
1790,-312,394,273,anomalie
1795,-869,2047,-20,anomalie
1800,261,648,-94,anomalie
1805,-208,281,480,anomalie
1810,887,2047,-477,anomalie
1815,-427,1097,-735,anomalie
1820,203,46,542,anomalie
1825,99,2047,-90,anomalie
1830,392,1203,-489,anomalie
1835,-143,-129,-36,anomalie
1840,-147,2047,-247,anomalie
1845,-846,1308,269,anomalie
1850,99,-231,605,anomalie
1855,-135,1839,-36,anomalie
1860,741,1511,-418,anomalie
1865,-162,-90,-67,anomalie
1870,219,1656,-32,anomalie
1875,15,1597,-59,anomalie
1880,365,-208,156,anomalie
1885,-177,1589,-454,anomalie
1890,-266,1664,-231,anomalie
1895,-746,-301,691,anomalie
1900,184,1371,105,anomalie
1905,-27,1757,-110,anomalie
1910,726,-227,257,anomalie
1915,-204,1386,-411,anomalie
1920,242,1894,-239,anomalie
1925,-54,-204,417,anomalie
1930,284,1097,-200,anomalie
1935,19,2047,-739,anomalie
1940,-139,-153,140,anomalie
1945,-850,832,601,anomalie
1950,361,2047,-297,anomalie
1955,-339,-8,187,anomalie
1960,599,753,203,anomalie
1965,-404,2047,-993,anomalie
1970,615,140,-24,anomalie
1975,-50,582,363,anomalie
1980,484,2047,-785,anomalie
1985,-143,417,-532,anomalie
1990,-181,386,250,anomalie
1995,-719,2047,-97,anomalie
2000,269,691,-75,anomalie
2005,-389,222,503,anomalie
2010,761,2047,-368,anomalie
2015,-519,1128,-907,anomalie
2020,361,-83,468,anomalie
2025,107,2047,-137,anomalie
2030,295,1210,-227,anomalie
2035,-197,-165,23,anomalie
2040,-20,2019,-301,anomalie
2045,-604,1328,35,anomalie
2050,103,-239,707,anomalie
2055,-354,1789,58,anomalie
2060,584,1515,-329,anomalie
2065,-289,-86,-262,anomalie
2070,357,1636,-106,anomalie
2075,19,1589,-122,anomalie
2080,303,-239,332,anomalie
2085,-204,1554,-418,anomalie
2090,-208,1671,-243,anomalie
2095,-512,-297,593,anomalie
2100,199,1328,243,anomalie
2105,-281,1761,-36,anomalie
2110,557,-231,312,anomalie
2115,-327,1394,-727,anomalie
